English,frequency,Bulgarian
you,1222421,Вие
i,1052546,аз
to,823661,да се
the,770161,пълен член
a,563578,А.
and,480214,и
that,413389,че
it,388320,то
of,332038,на
me,312326,аз
what,285826,Какво
is,282222,е
in,266544,в
this,249860,това
know,241548,зная
I'm,230304,Аз съм
for,216535,за
no,212463,не
have,210523,. \ t
my,210429,мой
don't,206663,не
just,196810,просто
not,195058,не
do,194183,правя
be,191823,бъда
on,191646,На
your,188060,Вашият
was,184170,беше
we,181863,Ние
it's,176919,това е
with,169586,в
so,169088,така
but,159109,но
all,158281,всичко
well,155201,добре
are,152650,. \ t
he,150009,той
oh,148780,О.
about,142750,относно
right,137218,дясно
you're,135738,Ти си
get,126849,имам
here,124368,тук
out,121867,навън
going,121435,в хода
like,121194,като
yeah,121148,Да
if,120553,чест
her,116265,неяс
she,110122,тя
can,107652,мога
up,103826,пост
want,102822,искам
think,102403,мисля
that's,102146,това е
now,100909,сега
go,100905,отивам
him,96536,него
at,93433,в
how,87908,How.
got,86085,има
there,85662,там
one,84057,един
did,79053,Направих
why,78554,защо
see,75968,вж
come,72807,идвам
good,72798,добре
they,69192,те
really,68311,наистина ли
as,67977,като
would,67718,би се
look,67262,виж
when,65117,кога
time,64891,време
will,64811,ще
okay,63509,добре
back,63115,обратно
can't,62602,не мога
mean,61504,означава
tell,61352,казвам
I'll,61169,аз ще
from,59972,от
hey,58699,Хей
were,58127,бяха
he's,57551,той е
could,57285,бих могъл
didn't,56732,не
yes,55828,Да
his,55502,негодник
been,55235,. \ t
or,55062,или
something,54736,нещо
who,53799,Кой
because,53566,заради
some,53265,нещо подобно
had,52561,чест
then,52197,тогава
say,50213,казвам
ok,49968,Добре
take,49868,предприеме
an,49832,Ан.
way,49794,начин
us,49492,нас
little,47885,малко
make,46154,онези
need,46040,трябва
gonna,45124,да
never,44728,никога
we're,43491,бяха
too,43360,и също
love,42994,любов
she's,42795,тя е
I've,42160,Аз
sure,40757,сигурен
them,40366,тях
more,40239,Повече ▼
over,40001,над
our,39896,нашия
sorry,39854,съжалявам
where,39330,където
what's,39305,какво има
let,38858,позволявам
thing,38121,нещо
am,37814,. \ t
maybe,37653,може би
down,37644,набиване
man,37355,човек
has,37145,има
uh,36435,щ.ч.
very,36140,много
by,35500,до
there's,35242,има
should,34829,Трябва
anything,34635,всичко
said,34568,казах
much,34270,много
any,34203,. \ t
life,34192,живот
even,33895,дори
off,33887,онези
please,33628,Моля те
doing,32831,правене
thank,31728,благодарение
give,31073,давам
only,30599,само
thought,30211,мисъл
help,29825,помогне
two,29788,две.
talk,28834,говоря
people,28517,хора
god,28502,Бог
still,28308,все още
wait,27920,изчакайте
into,27354,в
find,26757,намирам
nothing,26592,Нищо
again,26472,отново
things,26305,неща
let's,26132,Нека да
doesn't,25926,не
call,25880,повикване
told,25594,разказа
great,25435,страхотен
before,25329,преди
better,25282,По-добре
ever,25127,някога
night,24900,нощ
than,24815,от него
away,24543,далеч
first,24509,Първо
believe,24210,вярвам
other,23936,ДРУГИ
feel,23850,Усещам
everything,23714,всичко
work,23683,работа
you've,23483,Вие сте
fine,22993,глоба
home,22901,У дома
after,22182,след
last,21965,последно
these,21929,тези
day,21860,ден
keep,21842,пазя
does,21731,прави
put,21617,слагам
around,21591,наоколо
stop,21341,Спри се
they're,21309,те са
I'd,21221,Документ за самоличност
guy,21126,човек
long,21086,Дълго
isn't,20796,не
always,20581,винаги
listen,20142,слушам
wanted,20074,търси се
Mr.,20053,Г-н.
guys,19953,момчета
huh,19871,Хю.
those,19849,тези
big,19520,Big.
lot,19421,много
happened,19282,се случи
thanks,19233,Благодаря
won't,19208,няма
trying,19173,опитвайки
kind,19031,мил
wrong,19025,погрешно
through,18903,през
talking,18875,Говорене
made,18872,откровение
new,18860,нов
being,18666,да бъдеш
guess,18473,предположение
hi,18285,Здравей
care,18042,грижа
bad,17636,лоша
mom,17514,мама
remember,17266,помня
getting,17199,получаване
we'll,17077,добре
together,17074,заедно
dad,17003,татко
leave,16978,оставям
mother,16855,майка
place,16796,място
understand,16724,. \ t
wouldn't,16615,нямаше
actually,16585,всъщност
hear,16523,чувам
baby,16514,Бебе
nice,16275,Ница
father,16233,баща
else,16214,друго
stay,16167,престой
done,16010,Свършен
wasn't,16007,не беше
their,15907,техен
course,15866,Курс
might,15774,"биха могли, може"
mind,15364,ум
every,15350,на всеки
enough,15322,достатъчно
try,15235,опитвам
hell,15191,по дяволите
came,15142,дошла
someone,15035,някой
you'll,14958,Ще
own,14849,собствен
family,14765,Семейство
whole,14623,цялото
another,14541,друг
house or House,14458,къща или къща
Jack or jack,14324,Джак или Джак
yourself,14291,себе си
idea,14203,Идея
ask,14194,питам
best,14094,най-доброто
must,14089,трябва да
coming,14082,идва
old,14041,стар
looking,13843,търсене
woman,13734,жена
hello,13655,Здравейте
which,13652,който
years,13526,години
room,13467,стая
money,13456,пари
left,13428,наляво
knew,13357,Знаех
tonight,13305,Тази вечер
real,13161,реален
son,13131,Син
hope,13093,надявам се
name,13044,Име
same,13024,един и същ
went,12892,. \ T
um,12883,учтивост
hmm,12819,Хм.
happy,12788,щастлив
pretty,12746,красива
saw,12707,трион
girl,12641,момиче
sir,12557,господин
show,12392,шоу
friend,12245,приятел
already,12233,Вече
saying,12204,казвам
may or May,12199,май или май
next,12147,следващия
three,12088,три
job,12047,работа
problem,11931,Проблем
minute,11903,Минута.
found,11875,намерен
world,11754,свят
thinking,11721,мислене
haven't,11699,не съм
heard,11692,чудо
honey,11659,пчелен мед
matter,11578,материя
myself,11559,себе си
couldn't,11550,не можеше
exactly,11502,точно
having,11481,имам
ah,11347,Ах.
probably,11332,вероятно
happen,11273,случайно
we've,11200,Ние сме
hurt,11145,болки
boy,11050,момче
both,11035,и двете
while,11006,докато
dead,11002,мъртъв
gotta,11000,Готва
alone,10813,сам
since,10757,от
excuse,10747,извинение
start,10704,start.
kill,10676,убийство
hard,10608,трудно
you'd,10577,бихте искали
today,10561,днес
car,10485,кола
ready,10461,готов
until,10432,до
without,10421,без
